@OutdoorDaveGB @Cptchalkywhite @737pilotpaul @BLRAirport @DaveWallsworth Ill do my best!,comment
"@benwhitworth1 @Cptchalkywhite @737pilotpaul @BLRAirport We learned yesterday from @DaveWallsworth that the most important switch on his A380 instrument panel was his ""Foot Heater"" . I do hope you include that in your MSc !",aviation
#olacab Fix the issue at Bengaluru Airport . does it takes 1 hour to get a cab ? It's barren land no cab @BLRAirport @ANI took 1 hour to reach from Hyd now waiting for #olacab for 1 hour pathetic service .,service
@abee_law @BLRAirport @Olacabs It is!,comment
@sandeeprrao1991 @BLRAirport Unfortunately the fella in the captain’s seat wasn’t such a beauty 🤣!!,comment
@ayanpramanikET @BLRAirport @Olacabs Pretty bad it seems,service
@BLRAirport Any updates @BLRAirport ?,request
SG8719 landed at 9.10pm and to reach the baggage claim area by airline coach took 30 minutes,maintainance
Lovely lounge at the @BLRAirport dom airport! Great service by Mr. Krishna and his team! Great food,service
Lovely lounge at the @BLRAirport dom airport! Great service by Mr. Krishna and his team! Great food,service
#SpiceJet #B737-800 VT-SLC #Oregano (previously with Spicejet as VT-SGB and the same name) at #Bangalore with #GoAir VT-WAL in the background https://t.co/8sVpCu6yXQ  @flyspicejet @flyspicejetFC @BLRAirport @AvPhotoIn #aviation #planespotting #avgeek,airline_authority
@peakbengaluru @walruspay Meh! My favourite GH is when @shekhar1912 did a 1 night GH for @stoned_santa_ at @BLRAirport.  https://t.co/sATvhVKo97,service
Waiting for last 40 min at @BLRAirport for @Olacabs not a single vehicle provided after booking! What is wrong #needacab @Olacabs doesn't hv one https://t.co/PF0pXgISn7,service
@Cptchalkywhite @BLRAirport The A351 is truly a beauty!! ♥️🙏✈️ #GXWBD #BA118 #A351 #BLR #LHR https://t.co/Os6T4hdDsl,aviation
@BLRAirport it is great to hear announcement in Kannada after having to go airport security staff who can only speak Hindi.,service
@BLRAirport lounge - thank you Faizan Khan in lounge who assisted me to place in lounge where I could really relax! He is very courteous offered me soft drinks.. good experience 👍🙏🏻,service
@BLRAirport LOUNGE - I was impressed with Krishna’s personalized services in BLR Domestic lounge! I m an Indian Gujarati n Tea lover.. Masala tea was too good and veg puff.. it was crowded but its okay we Indians are large in numbers...thanks..,service
@AirAsiaSupport Any update  on my query please ? @AirAsiaSupport @BLRAirport,request
@AirAsiaSupport Any update  on my query please ? @AirAsiaSupport @BLRAirport,airline_authority
@Mysuru_Infra @murlibhat @KSRTC_Journeys @BLRAirport @VSOMANNA_BJP @mepratap ಇಡೀ ಮೈಸೂರು ನೇ ಮಾರ್ಬಿಡು..,comment
@PTI_News This number difference is humongous. What were the trends in prior years? What are the reasons for the boom in 2018 or the 2019 dip? @AAI_Official @DelhiAirport @BLRAirport #Airport #AirTravel #Transportation,comment
FI-NA-LLY. I think they are at least 10 years behind @BLRAirport. @aaichnairport @AAI_Official please privatise MAA,maintainance
@Mysuru_Infra @KSRTC_Journeys @BLRAirport Yes,comment
@benwhitworth1 @Cptchalkywhite @737pilotpaul @BLRAirport Hopefully the eFB performance calculations don’t take 15 years to work out Optimum 😂 That chart interface looks Stone Age #A350,maintainance
@karnvirmundrey @JaipurAirport @AirportJaipur @BLRAirport @sandeeprrao1991 @RatiMundrey @Boeing @Airbus @IndiGo6E @ndtv They should provide a chess ♟ board as well,service
@Cptchalkywhite @737pilotpaul @BLRAirport I’m studying flight deck design for my MSc so this is particularly useful!  We had touch screen EFBs on a 777 I used to fly,aviation
#Loved this idea. #Carrom at the boarding gates of #Jaipur #airport.   @JaipurAirport @AirportJaipur @BLRAirport @sandeeprrao1991 #aviation #aircraft #CustomerService #sports #mondaythoughts #MondayMotivation #greatidea @RatiMundrey @Arun72604286 @Boeing @Airbus @IndiGo6E @ndtv https://t.co/4whk47cUtX,service
@benwhitworth1 @737pilotpaul @BLRAirport The touchscreens are fab particularly for performance apps and aerodrome charts,service
@Mysuru_Infra @murlibhat @KSRTC_Journeys @BLRAirport @VSOMANNA_BJP @mepratap What about Sathagalli depot ? The high class building has been built before 3 yrs but it's resting Idle,request
@Mysuru_Infra @murlibhat @KSRTC_Journeys @BLRAirport @VSOMANNA_BJP @mepratap What about Sathagalli depot ? The high class building has been built before 3 yrs but it's resting Idle,service
Hope you are safe @BLRAirport   https://t.co/RH6bpR7Pct,security
Hope you are safe @BLRAirport   https://t.co/RH6bpR7Pct,comment
A special team of Bomb disposal squad bomb sabotage team will reach Mangaluru with this @BlrCityPolice has enhanced and heightened the security arrangements fr precautionary measures @BSBommai @BLRAirport @CISFHQrs Cops heightened security at KIAL @VipinGaurnai,security
@BLRAirport From my home in Bangalore to Bangalore Airport,comment
@murlibhat @KSRTC_Journeys @BLRAirport Are Mysoreans actually getting back facilities in equal measure from @KSRTC_Journeys for the hefty price we pay? High time KSRTC develops a NEW SATELLITE BUS TERMINAL near APMC,service
@Mysuru_Infra @KSRTC_Journeys @BLRAirport Mys-Blr sector as a milch cow for #KSRTC. Fare per KM is higher than any other route in #Karnataka,service
@NaraayanKannan @Vinamralongani @TheSanjivKapoor @Uber_India @Olacabs @DelhiAirport @MoCA_GoI @BLRAirport @CSMIA_Official CSIA parking and Taxi pickup tower in summer is akin to the Auschwitz gas chambers even without the slightest of exaggeration,service
@axiaum @BLRAirport @airvistara Mehhh...is often much worse: have landed up to an hour early,airline_authority
@Mysuru_Infra @KSRTC_Journeys @BLRAirport And the buses also have been worn out for that hefty price,service
.@KSRTC_Journeys reduce the fare of #FLYBUS- Mysuru &amp; KIA @BLRAirport. 750+ RS is too much while from Manipal is 1045 RS,service
Total chaos at @BLRAirport today early morning. Toll plaza jammed with long queues due to #Fasttag issues. Security check at #Bangaloreairport inefficient to say the least taking over an hour. So many missed flights. @IndiGo6E gate staff calls after closing gate rather than befor,maintainance
@BLRAirport Is this is Airport or MTR ?😀😀,maintainance
@IndiGo6E made about 10 passengers miss the flight at @BLRAirport as the security took 1 hour for each passenger. Now,maintainance
@IndiGo6E made about 10 passengers miss the flight at @BLRAirport as the security took 1 hour for each passenger. Now,security
@BLRAirport Hardly 3 to 4 people move in 5 mins https://t.co/XkBJ8BjNEz,maintainance
@BLRAirport Roshini devi &amp; Azhar,comment
@BLRAirport worst security check in one can ever witness for domestic flights. Do we need to wait for 45 mins? Increase the security persons.,service
@BLRAirport worst security check in one can ever witness for domestic flights. Do we need to wait for 45 mins? Increase the security persons.,security
@BLRAirport  had a great time in the Lounge.. awesome service. https://t.co/UfUl4m1DQj,service
@BLRAirport Excellent service by Ms.Roshini Devi and Azhar at the airport lounge. Good variety of food and extremely delicious as well. Thanks guys!! 😊😊 https://t.co/DOr6FPe0lL,service
@BLRAirport @MORTHIndia it is taking 20-25 mins at toll gate near Bangalore Airport at 5AM! Some may miss flights. Even though most of them are having fast tag. Its due to lack of staff and irregular Lane arrangements.,maintainance
@BLRAirport i have visited TFS lounge in Bengaluru airport,comment
@BLRAirport  It was a nice experience at BLR Longue. Thankyou Sachin for your overwhelming hospitality.  #BLRAirport  #Lounge https://t.co/nluA60lbR5,service
@BLRAirport spotted  sparrows inside airport near food court .Didnt see  carrying them boarding passes. https://t.co/WxQlm6YMCY,maintainance
@BLRAirport  Good hospitality  by crew  credits:sachin,service
@BLRAirport  Sachin  has been an amazing person hosting at Blr Airport lounge..kudos to his dedication and hospitality services.. https://t.co/ctXhjXE1fb,service
@BLRAirport does a great job at it.  Also it has to do with the ethos of the city &amp; its people. None of the BC-MC -Dalali background -‘tu jaanta nahin mera baap kaun hai’ Lutyens’ mafia- issues here. I hope it remains that way! https://t.co/CCGOVJrFKO,maintainance
@BLRAirport  Had a great time at Bangalore airport lounge. Thank you so much for ur service #sachin ✌️  Hope to see u again next time 🙌 https://t.co/M1eA8Xf3bo,service
@subpra @Lolita_TNIE @BSYBJP @CSogo @DGCAIndia @AAI_Official @BLRAirport @BLRAviation @MoCA_GoI @HardeepSPuri @SuratAirportSTV @NewIndianXpress @XpressBengaluru @dyamannavar @Mohan_Rngnathan 2020 in Hyd. 2022 in KA. Read properly.,comment
"Aviation Secretary PS Kharola said regulatory framework for drones to be ""extremely",aviation
@Lolita_TNIE @sandeeprrao1991 @BelagaviAirport @HariMarar @BLRAirport @NewIndianXpress @bengaluruairprt @MysuruAirport @CAPA_Aviation @BLRAviation @dyamannavar @IATA @Wings2020 No subsidies to #rich to travel in #cheap #LCC   India is 82% LCC market with billions of loss in aviation services #fail #aviation in Tier #1 #slum cities https://t.co/MrXZx7ouvV,maintainance
